,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
6321,,小儿口炎,儿科,口炎是指口腔粘膜的炎症若病变限于局部如舌齿龈口角亦可称为舌炎齿龈炎或口角炎等本病多见于婴幼儿可单独发生亦可继发于全身疾病如急性感染腹泻营养不良久病体弱和维生素BC缺乏等常由细菌病毒真菌或螺旋体感染引起食具消毒不严；口腔不卫生或由于各种疾病导致机体抵抗力下降等因素均有利于口炎的发生口炎的种类很多常见的有鹅口疮疱疹性口炎溃疡性口炎等详细情况请参阅具体疾病,暂无数据,暂无数据
6322,,小儿利斯特菌病(小儿李氏杆菌病，小儿李司忒菌病，小儿李斯特菌病),"内科,神经内科,儿科,急诊科",利斯特菌病(listeriosis)又译为李司忒菌病，是由单核细胞增多性李斯特菌[或译为产单核细胞性利斯特菌病(listeriamonocytogenes)]引起的急性传染病。患者多在免疫功能低下时感染发病，主要见于新生儿、老人、孕妇及免疫缺陷病人。,暂无数据,暂无数据
6323,胸部,先天性锁骨假关节,骨外科,先天性锁骨假关节是一种罕见畸形，出生时即可发现右锁骨干中部有一个裂隙，随着患儿年龄增大，局部出现无痛性包块。,暂无数据,暂无数据
6324,"头部,眼,四肢,上肢,下肢,皮肤",小儿弹性假黄瘤(小儿Darier-Grnblad-Strandberg综合征，小儿Gronblad-Strandberg-Touraine综合征，小儿Gronblad-Strandberg综合征，小儿Touraine),"儿科,五官科,眼科,皮肤病科",弹性假黄瘤即假性弹性黄色瘤病，又称皮肤假性黄色瘤(pseudoxanthoma;elasticum)、营养不良性弹力纤维病(elastosis;dystrophica)、系统性弹力纤维病(systemic;elastic;disease)、全身弹力纤维碎裂症(generalized;elastorrhexis)、遗传性弹力纤维营养不良症(hereditary;elastodystrophy)、Gr?nblad-Strandberg综合征(Gr?nblad-Strandberg;syndrome)、Gr?nblad-;Strandberg-Touraine综合征、Touraine综合征、Darier-Gr?nblad-Strandberg综合征等。本病征是一种罕见的全身结缔组织病，呈广泛的弹性组织变性。本综合征具有4个特征：皮肤假性弹性黄色瘤;视网膜血管样条纹;复发性严重的消化道出血;脉搏减弱。,暂无数据,暂无数据
6325,腹部,性病相关性胃肠道感染,"内科,消化内科",性病相关性胃肠道感染(sexuallytransmissibleintestinalinfection)是指通过性接触传播，由细菌、原生动物及病毒感染或机会感染引起的一类胃肠道疾病。,暂无数据,暂无数据
6326,背部,先天性脊柱侧凸,骨外科,先天性脊柱侧凸是由异常椎体的形成而引起，椎体缺失，半椎体或者椎体间联合可以引起不对称生长，从而引起继发性畸形。因患者年龄、性别、畸形部位，侧凸程度、节段长短、畸形类型、可屈性及进展性等情况不同，医生应选择不同治疗手段。,暂无数据,暂无数据
6327,腹部,小儿慢性充血性脾肿大(小儿Banti综合征，小儿斑替综合征，小儿充血性脾大综合征，小儿肝脾纤维化，小儿门静脉高压症，小儿脾肝综合征，小儿脾性充血，小儿脾性贫血，小儿纤维化充血性脾肿大综合征),"内科,消化内科,儿科",慢性充血性脾肿大(chroniccongestivesplenomegaly)又称门静脉高压症(portalhypertension)或班替综合征(Bantissyndrome)，是一种原因不明、充血性慢性进行性疾病，多见于年长儿。慢性充血性脾大症主要是由门静脉高压症引起的，临床特点为慢性进行性脾脏肿大、进行性贫血、白细胞及血小板减少和消化道出血为主要表现。晚期出现腹水、黄疸、肝功能障碍和肝硬化等征象。最近发现本病征往往与门脉高压并发，但目前认为脾大与“脾功能亢进”并非只是由于充血所致，因门脉减压之后仍可继续有脾大及脾功能亢进存在。,暂无数据,暂无数据
6328,,鲜红斑痣,皮肤病科, ,暂无数据,暂无数据
6329,上肢,先天性远端尺桡关节半脱位(马德隆畸形，马德隆氏畸形，曲腕畸形，桡骨远端骨骺发育缺陷，先天性腕关节半脱位),"骨外科,小儿科",先天性Madelung畸形(马德隆畸形)，是桡骨远端尺侧及掌侧骨骺发育障碍引起的先天性远端桡尺关节半脱位畸形。也有人称其为先天性腕关节半脱位，桡骨远端骨骺发育缺陷和尺侧部比桡侧部短等。,暂无数据,暂无数据
6330,全身,先天性静脉畸形肢体肥大综合征(静脉曲张性骨肥大血管痣，先天性静脉畸形肢体肥大综合症),"外科,中医科,小儿科",先天性静脉畸形肢体肥大综合征(Klippel-Trénaunaysyndrome，KTS)是一种复杂的先天性血管发育异常疾病。临床以深部和(或)浅部静脉发育畸形，皮肤血管瘤(痣)，骨骼和软组织过度生长等三联征为特征。少数病例可伴有肢体软组织海绵状血管瘤和内脏器官的血管瘤，个别患者可并发动脉病变。,暂无数据,暂无数据
6331,,狭颅症,"外科,小儿科", ,暂无数据,暂无数据
6332,全身,血证(血病),心血管内科,血证，凡由多种原因引起火热熏灼或气虚不摄，致使血液不循常道，或上溢于口鼻诸窍，或下泄于前后二阴，或渗出于肌肤所形成的疾患，统称为血证。也就是说，非生理性的出血性疾患，称为血证。在古代医籍中，亦称为血病或失血。,暂无数据,暂无数据
6333,胸部,心脏骤停与心肺脑复苏,"内科,心血管内科",心脏骤停是指各种原因引起的心脏突然停止跳动，有效泵血功能消失，引起全身严重缺氧、缺血。临床表现为扪不到大动脉搏动和心音消失;继之意识丧失，呼吸停止，瞳孔散大，若不及时抢救可引起死亡。一般认为，心脏停搏5～10s可出现眩晕或晕厥，超过15s可出现晕厥和抽搐，超过20s可出现昏迷;若心搏停止超过5min常可造成大脑严重损伤或死亡，即使复跳也往往会遗留不同程度的后遗症。因此，心脏骤停是临床上最危重的急症，必须争分夺秒积极抢救。,暂无数据,暂无数据
6334,腹部,小儿急性肠系膜淋巴结炎,"内科,儿科",急性肠系膜淋巴结炎(acute;mesenteric;lymphadenitis);为小儿腹痛的常见病因之一，临床上易与急性阑尾炎相混淆，多见于7岁以下的小儿，多属病毒感染。好发于冬春季节，常在急性上呼吸道感染病程中并发，或继发于肠道炎症之后。典型症状为发热、腹痛、呕吐，有时伴腹泻或便秘。急性肠系膜淋巴结炎又称急性非特异性肠系膜淋巴结炎(acute;nonspecific;mesenteric;lymphadenitis)，由Brenneman(1921)首先提出，一般病例药物治疗有效，少数肠系膜淋巴结炎化脓后形成脓肿，则需外科治疗。,暂无数据,暂无数据
6335,"皮肤,全身",先天性毛细血管扩张性大理石样皮肤(先天性泛发性静脉扩张，先天性网状青斑),"中医科,皮肤病科",本病又称先天性泛发性静脉扩张、先天性网状青斑、van;Lohuizen综合征。与常染色体显性遗传有关。早期不需要治疗，对持续性的损害，可试用脉冲染料激光治疗。,暂无数据,暂无数据
6336,腹部,先天性肠旋转异常,"消化内科,外科",肠旋转异常是指在胚胎期中肠发育过程中，以肠系膜上动脉为轴心的旋转运动不完全或异常，使肠道位置发生变异和肠系膜附着不全，从而引起肠梗阻或肠扭转。大概在6，000个出生婴儿中有1例。多数在新生儿期出现症状，少数在婴儿或儿童期发病。男性发病率比女性高1倍。,暂无数据,暂无数据
6337,"眼,皮肤,牙",小儿先天性外胚层发育不良综合征(小儿Christ-Siemens-Touraine综合征，小儿Christ-Siemens综合征，小儿Siemens综合征，小儿Wedderburn综合征，小儿无汗性外胚叶发育不全，小儿先天性外胚层),"骨外科,五官科,眼科,口腔科,皮肤病科",先天性外胚层发育不良综合征(congenitalectodermaldysplasiasyndrome)又称先天性外胚层缺陷、Siemencs综合征，是一组外胚层发育缺损的先天性疾患，累及皮肤及其附属结构如牙和眼，间或波及中枢神经系统，有时可伴有其他异常。,暂无数据,暂无数据
6338,,新生儿锁骨骨折,儿科,新生儿锁骨骨折是产伤性骨折中最常见的一种与分娩方式胎儿娩出方位和出生体重有关难产胎儿转位幅度大巨大儿发生率高骨折多发生在锁骨中段外/处此处锁骨较细无肌肉附着当胎儿肩娩出受阻时S形锁骨凹面正好卡在母亲耻骨弓下容易折断大部分患儿无明显症状故易漏诊但患侧上臂活动减少或被动活动时哭闹对锁骨进行常规触诊即可发现双侧锁骨不对称病侧有增厚模糊感局部软组织肿胀有压痛骨摩擦音甚至可扪及骨痂硬块患侧拥抱反射减弱或消失X片可确诊青枝骨折一般不需治疗;对于完全性骨折有学者也认为无需处理随着小儿生长发育肩部增宽错位及畸形均自行消失也可在患侧腋下置一软垫患肢以绷带固定于胸前周可愈合,暂无数据,暂无数据
6339,,小儿言语和语言障碍(小儿沟通障碍，小儿言语不能症),"儿科,精神心理科",语言是学习、社会交往、个性发育中一个重要的能力。从广义上来说，儿童言语和语言障碍(language;disorder)又称沟通障碍，并影响日后的阅读和书写。因此，早期发现、早期诊断和及时的治疗尤为重要。我国近年来已开展了儿童言语和语言障碍的临床诊治。,暂无数据,暂无数据
6340,头部,小儿脑白质海绵状变性综合征(小儿白质海绵样变性综合征，小儿卡纳万氏综合征，小儿卡纳万综合征，小儿脑白质海绵状变性综合症，小儿神经系统海绵状退行性变性，小儿中枢神经系统海绵样变性),"内科,神经内科,外科,儿科",脑白质海绵状变性综合征(Canavanssyndrome)即中枢神经系统海绵样变性，又称Canavan综合征、Van-Bogaert-Bertrand综合征、神经系统海绵状退行性变性等。本病征是一种常染色体隐性遗传性疾病，主要以进行性头围增大和神经系统功能的快速减退为特点。,暂无数据,暂无数据
6341,"耳,眼,腰部,全身",小儿蓝尿布综合征(小儿Drummond综合征，小儿伴肾结石及尿蓝母尿症的高钙血症，小儿单纯性肠道色氨酸吸收不良，小儿孤立性肠道色氨酸吸收不良，小儿蓝尿布综合症，小儿蓝襁褓综合征，小儿蓝色尿布综合征，小儿尿布蓝染综合征),"内科,神经内科,儿科","蓝尿布综合征又名蓝色尿综合征(bluediapersyndrome),伴肾结石及尿蓝母尿症的高钙血症、蓝襁褓综合征、Drummond综合征、尿布蓝染综合征、单纯性肠道色氨酸吸收不良(isolatedintestinaltryptophanmalabsorption)等。系色氨酸于胃肠道吸收不良，并经细菌作用转化为吲哚而引起，以尿蓝母形式排出。因尿蓝母暴露于空气被氧化成尿蓝母蓝而取名。",暂无数据,暂无数据
6342,"上肢,下肢",先天性环状束带(狭窄环综合征，先天性环状挛缩带),骨外科,先天性环状束带又称先天性环状挛缩带(congenitalconstrictionband)，亦称狭窄环综合征(constrictionbandsyndrome)或Streeter畸形，属肢体软组织环形缺陷畸形。,暂无数据,暂无数据
6343,"皮肤,全身",小儿红白血病(儿童真性红细胞增多症，小儿DiGuglielmo综合征，小儿红细胞增多症，小儿红血球增多，小儿红血性骨髓增生症，小儿急非淋白血病，小儿急性红细胞骨髓病，小儿儿童真性红细胞增多症),"内科,肿瘤科",红白血病(erythroleukemia)即DiGuglielmo综合征，又称急性红细胞骨髓病、急非淋白血病、红细胞增多症、红血性骨髓增生症等。本病是一种急性或慢性骨髓恶性增生性疾病。,暂无数据,暂无数据
6344,,涎腺疾病,"五官科,口腔科",涎腺疾病简介：涎腺又称唾液腺由腮腺颌下腺舌下腺三大对涎腺以及位于口咽咽部鼻腔和上颌窦粘膜下层的小涎腺组成口腔的小涎腺按其所在解剖部位分别称为腭腺唇腺磨牙后腺及颊腺等。涎腺常见的病变有涎腺炎症舍格伦综合症涎腺肿瘤及瘤样病变等涎腺炎症根据感染性质可分为化脓性病毒性及特异性感染三类腮腺最常见其次为颌下腺而舌下腺及小涎腺极少见腮腺炎就医指南点击查看本站相关页面舍格伦综合体征是一种自身免疫性疾病其特征表现为外分泌腺的进行性破坏导致粘膜及结膜干燥并伴有自身免疫性病症病变限于外分泌腺本身者称为原发性舍格伦综合征同时伴有其他自身免疫性疾病如类风湿性关节炎等则称为继发性舍格伦综合征肿瘤是涎腺组织中最常见的疾病其中绝大多数是上皮性肿瘤间叶组织来源的肿瘤较少见涎腺上皮性肿瘤的病理类型十分复杂不同类型的肿瘤在临床表现影像学表现治疗和预后等方面均不相同,暂无数据,暂无数据
6345,"头部,耳,眼,胸部,腹部",先天性风疹综合征(先天性风痧，先天性风瘾，先天性风疹，先天性风疹综合症，新生儿风疹病毒感染),"妇产科,儿科",先天性风疹综合征是由于孕早期感染风疹，风疹病毒通过胎盘感染胎儿，导致胎儿的先天性畸形。出生的新生儿可为未成熟儿、先天性心脏病、白内障、耳聋、发育障碍等，称为先天性风疹，或先天性风疹综合征。先天性风疹综合征所致的损害除少数为暂时性外，大多为进行性或永久性的病变，并且无特效疗法。风疹病毒是一种对外界抵抗力较弱的呼吸道病毒，主要通过空气飞沫直接传播。风疹一年四季均可发病，春季发病率较高。,暂无数据,暂无数据
6346,"颈部,四肢,上肢,下肢,胸部,背部,腹部,腰部,盆腔",血管周细胞瘤,肿瘤科,血管周细胞瘤(hemanyiopericytoma)为由周细胞衍生的软组织肿瘤，较罕见。由于其他软组织肿瘤也有大量血管和呈血管周细胞瘤样外观，因而诊断本病常遇到困难。,暂无数据,暂无数据
6347,"头部,头,眼",小儿颅面骨畸形综合征(小儿Audry综合征Ⅰ型，小儿Frangois综合征，小儿Ullrieh-Fremety-Dohna综合征，小儿哈-斯二氏综合征，小儿颅面骨畸形综合症，小儿头面下颌与眼畸形综合征，小儿下颌、眼、面部、),"儿科,五官科",颅面骨畸形综合征(Hallermann-Streiff;syndrome)又称H-S综合征、下颌、眼、面部、颅骨发育不全综合征、下颌、眼、面部、颅骨发育不全、毛发稀少综合征(dyscephalia;oculomandibularis-hypotrichosis;syndrome)、头面下颌与眼畸形综合征、先天性白内障鸟脸畸形综合征、先天性白内障和稀毛症综合征(cataracta;congenita;hypotrichosis;syndrome)、Ullrieh-Fremety-;Dohna综合征、Frangois综合征、Audry综合征Ⅰ型、Fremery-Donhna综合征等。本病征以头面畸形、先天性白内障、毛发稀少为表现特征。,暂无数据,暂无数据
6348,颈部,项痈(搭背，对口疮，颈部痈),"中医科,皮肤病科",项痈是在项部多个相邻的毛囊及其所属皮脂腺或汗腺的急性化脓性感染。祖国医学称为“对口疮”或搭背。病损部常呈紫红色炎症浸润、界限不清，脓肿表面有多个脓栓，破溃后呈蜂窝状。感染严重时，患者可伴全身中毒症状等。临床需要及早给予抗生素等全身治疗。痈较大，或经过消炎治疗仍继续向周围扩展，或全身症状严重时，宜及时行手术引流。,暂无数据,暂无数据
6349,,胸膜间皮瘤,外科,胸膜间皮瘤可起源于胸膜脏层壁层纵隔及横膈胸膜是一种少见的肿瘤一般分为局限型和弥漫型两种局限型间皮瘤多为良性而弥漫型间皮瘤多为恶性,暂无数据,暂无数据
6350,"头,眼,颈部,背部,腹部",小儿播散性脂肪肉芽肿综合征(小儿Farber脂肪肉芽肿，小儿播散性类脂肉芽肿病，小儿播散性脂肪肉芽肿综合症，小儿播散性脂质肉芽肿病，小儿低血色素性贫血综合征，小儿法伯尔氏综合征，小儿法伯尔综合征，小儿神经酰胺沉积病，小儿胃液缺乏),"内科,神经内科,儿科",播散性脂肪肉芽肿综合征(Farberssyndrome)即播散性类脂肉芽肿病，又称神经酰胺沉积病、Farber脂肪肉芽肿等。本症为常染色体隐性遗传病，临床以小关节受累、皮下结节和中枢神经系统受损为特征。,暂无数据,暂无数据
6351,,先天性肺囊性病,外科,先天性肺囊性病是较少见的先天性肺发育异常其病理分类和命名比较混乱意见不一以往统称先天性肺囊肿现在比较一致地称为先天性肺囊性病包括支气管源性囊肿(肺囊肿)肺泡源性囊肿肺大叶气肿(肺大皰)囊性腺瘤样畸形和先天性囊肿性支气管扩张等,暂无数据,暂无数据
6352,腹部,小肠系膜损伤(小肠及其系膜损伤),"消化内科,外科",小肠及其系膜在腹腔内所占体积大、分布广、又缺乏坚强的保护，易受损伤，约占腹部脏器伤的1/4，在战时居腹内脏器伤之首位。钝性伤由暴力将小肠挤压于腰椎体造成，经挤压肠管内容物急骤向上下移动，上至屈氏韧带，下到回盲瓣，形成高压闭袢性肠段。穿孔多在小肠上、下端的70cm范围内。偶因间接暴力（高处坠落、快速行进中突然骤停），由于惯性，肠管在腹腔内剧烈震动，肠管内气体和液体突然传导到某段肠袢，腔内压力骤增，致肠管破裂。少数因腹肌过度收缩或医源性原因所造成。,"甲氯芬那酸片,甲芬那酸片,盐酸小檗碱片",暂无数据
6353,全身,纤维软骨间质瘤,肿瘤科,纤维软骨间质瘤由二种不同组织组成，一种是软骨样组织，是良性的，相似于生长中的骺板；另一种是类似低恶性度纤维肉瘤组织。本病罕见。好发于男性，年龄9～23岁(平均13岁)。,暂无数据,暂无数据
6354,"皮肤,全身",下丘脑多汗症(下丘脑多汗),"内科,神经内科,内分泌科,中医科",下丘脑是中枢神经系统内的主要自主神经中枢，控制调节出汗。,暂无数据,暂无数据
6355,"皮肤,全身",猩红热样红斑,"中医科,皮肤病科",猩红热样红斑(scarlatiniform;erythema)为一种急性全身性或限局性红斑，发病前有发热，咽喉痛等前驱症状。病因发病机制还不清楚。临床上表现为皮疹往往突然出现，常伴有畏寒、高热、头痛、不适等症状。皮疹呈水肿性鲜红色，广泛而对称，以后皮疹增多增大，相互融合。,暂无数据,暂无数据
6356,"四肢,上肢,下肢,胸部,全身",小儿周期性低血钾性麻痹(小儿低钾性周期性麻痹，小儿低钾性周期性瘫痪，小儿低血钾型周期性麻痹，小儿低血钾型周期性瘫痪，小儿血钾过少性周期性麻痹，小儿血钾过少性周期性瘫痪),儿科,周期性瘫痪(periodic;paralysis)是一组以反复性、自限性发作的骨骼肌弛缓性瘫痪为临床特征的疾病。根据其发作时血钾的改变，可将其分为低血钾型、高血钾型及正常血钾型三种类型。,暂无数据,暂无数据
6357,胸部,先天性食管狭窄,"内科,消化内科",先天性食管狭窄(congenitalesophagostenosis，CES)是指生后即已存在的因食管壁结构内在狭窄的畸形。在临床上十分罕见，多于幼年时发病，常需要手术治疗。临床上应注意与继发的食管狭窄相区别。,暂无数据,暂无数据
6358,"腹部,皮肤,全身",小儿埃博拉病毒病(小儿埃波拉出血热，小儿埃博拉病毒性疾病，小儿埃博拉出血热),"儿科,传染科",埃博拉病毒病即埃波拉出血热是由埃波拉病毒(ebola;virus)引起的急性传染病，至今为止仅在非洲少数国家发生过数起暴发流行。该病死亡率很高，危害很大，故应引起我国医务人员的注意。,暂无数据,暂无数据
6359,"头,眼,下肢,腹部,生殖部位",小儿肥胖性生殖无能综合征(小儿Babinski-Frohlich综合征，小儿Frohlich综合征，小儿Leaunois-Cleret综合征),"内科,内分泌科,儿科",肥胖性生殖无能综合征又称Fröhlich综合征(Fröhlichsyndrome)、Babinski-Fröhlich综合征、Leaunois-Cleret综合征、肥胖性生殖无能性营养不良症、脑性肥胖症。本病征以幼儿、学龄期男孩多见，肥胖、性器官发育不良、尿崩等为其特征。大多数由下丘脑、垂体或其邻近部位肿瘤、脑炎、脑外伤等多种病因引起。下丘脑病变为引起本综合征的重要原因。,暂无数据,暂无数据
6360,"四肢,上肢,下肢,胸部,背部,腹部,腰部,臀部",血管球瘤(血管平滑肌神经瘤，血管神经肌瘤，血管神经瘤),肿瘤科,血管球瘤(glomus;tumor)可分单发性血管球瘤和多发性血管球瘤。常有显著触痛和自发性疼痛，但偶亦有无疼痛者。指趾部损害多见于女性，发生于其他部位者男性多见。,暂无数据,暂无数据
6361,胸部,先天性心包缺如或缺损(先天性心包缺如，先天性心包缺损),"内科,心血管内科",先天性心包缺如或缺损(congenitalpericardialabsenceordefect)是一种少见的心脏病。本病首先于1559年被RealdoColumbus解剖确认，但第1个可靠的病例是1793年由Baille报道的。,暂无数据,暂无数据
6362,全身,小儿淹溺(儿童淹溺，小儿近乎溺死，小儿溺死，小儿淹死),"儿科,急诊科",淹溺是指包括水在内的各种液体淹没面部及上呼吸道，导致人体因呼吸功能丧失所窒息而引起的生命危险状态或死亡。淹溺的严重后果在于即使生命得以复苏，淹溺引起的神经系统损害常足以使患儿丧失正常生活能力。国外资料显示，在急诊室接受心肺复苏并存活的淹溺患儿中有60%～100%存在严重脑损害。,暂无数据,暂无数据
6363,"头部,胸部",新生儿晚期代谢性酸中毒(新生儿晚期代酸),儿科,健康新生儿于生后2～3周出现代谢性酸中毒，称之为新生儿晚期代谢性酸中毒(late;metabolic;acidosis;of;newborn)。其发病与饮食中蛋白质的质和量，以及肾功能发育不完善、肾脏酸负荷过高有关。典型的晚期代谢性酸中毒可发生在不伴有其他问题的早产儿生后第2～3周，以与代谢性酸中毒有关(BE,暂无数据,暂无数据
6364,"四肢,上肢,下肢,全身",小儿进行性骨干发育不良(小儿Camurati-Engelman综合征，小儿Engelman病，小儿恩格尔曼综合征，小儿骨干发育异常，小儿骨干硬化，小儿骨干硬化症，小儿进生性骨干发育不全，小儿进行性骨干肥厚，婴儿型多发性肥厚性),"骨外科,儿科",进行性骨干发育不良(progressivediaphysealdysplasia)也称进行性骨干肥厚(progressivediaphysealhyperostosis)，又称骨干硬化(diaphysealsclerosis)或Engelman病。本病的特点为长管状骨的骨干对称性梭形膨大和硬化，而且颅骨也有类似致密改变。恩格尔曼综合征(Engelman)即进行性骨干发育不良，又称Camurati-Engelmann综合征，婴儿型多发性肥厚性骨病等。是一种原因不明的，少见的骨质增生硬化性疾病。本病征为常染色体显性遗传。,暂无数据,暂无数据
6365,"上肢,下肢",小儿骨软骨瘤(小儿错构瘤，小儿骨软骨性外生骨疣，小儿骨疣，小儿外生骨疣),"骨外科,肿瘤科,儿科",骨软骨瘤又称外生骨疣，是儿童期最常见的良性骨肿瘤。该肿瘤通常位于干骺端的一侧骨皮质，向骨表面生长。可分为单发和多发性骨软骨瘤。后者有遗传倾向，并影响骨骺发育或产生肢体畸形，称为多发性遗传性骨软骨瘤病，或骨干续连症。,暂无数据,暂无数据
6366,胸部,心房心肌梗死(心房心肌梗塞),"内科,心血管内科",心房心肌梗死具有与单纯心室心肌梗死不同的临床过程，但因本身确诊较困难，临床表现常被同时伴随的心室心肌梗死所掩盖，故尚未引起足够的重视。,暂无数据,暂无数据
6367,头部,小儿肢端肥大症和垂体性巨人症(小儿垂体性巨大发育，小儿垂体性巨人畸形，小儿垂体性巨人症，小儿洛努瓦氏综合征，小儿洛努瓦综合征),"内科,内分泌科,儿科,中医科",肢端肥大症和垂体性巨人症又称垂体性巨大畸形(pituitarygigantism)、生长激素过多症。是由于儿童时期生长激素持续分泌过多，从而使骨骼、软组织、内脏生长过度及代谢改变所产生的体格发育异常。突出表现在骨骼快速增长，尤以长骨的增长为明显。身高远远超过正常范围。按西方标准，如在出生后头6个月，身高增长超过18cm或出生后6～12个月身高增长超过10cm则为生长过快。或者如果生长激素(hGH)的分泌过多开始于青春期前，骨骺未融合者为巨人症;如果hGH的分泌过多开始于青春期以后骨骺已经闭合时，则为肢端肥大症(acromegaly)，只见于成人。如果疾病开始于青春期前并在青春期后继续发展，则成为伴有肢端肥大症的巨大畸形。巨人症是表示体征的术语，由于某种原因呈病理性身材过高状态。小儿身长超过同年龄，也可以高出同性别正常标准身高3个标准差者为高身材。,暂无数据,暂无数据
6368,,小儿败血症,儿科,败血症是指细菌进入血循环并在其中生长繁殖产生毒素而引起的全身性严重感染临床表现为发热严重毒血症状皮疹瘀点肝脾肿大和白细胞数增高等革兰阳性球菌败血症易发生迁徙病灶;革兰阴性杆菌败血症易合并感染性休克当败血症伴有多发性脓肿时称为脓毒败血症,暂无数据,暂无数据
6369,头部,小儿阅读障碍(小儿发育性阅读障碍，小儿视觉性言语障碍，小儿先天性词聋),"内科,神经内科,外科,儿科,精神心理科",阅读障碍是一种词的识别技能及阅读理解的明显的发育障碍，这种障碍不能以智力障碍、不充足教育解释，也不是视觉、听觉、神经系统障碍的结果。,暂无数据,暂无数据
6370,,新生儿脐肉芽肿,儿科,脐肉芽肿是指断脐后脐孔创面受异物刺激(如爽身粉血痂)或感染在局部形成小的肉芽组织增生脐肉芽组织表面湿润有少许粘液或粘液脓性渗出物可用酒精一日数次清洁肉芽组织表面预后良好顽固肉芽组织增生者呈灰红色表面有脓血性分泌物可用硝酸银烧灼或搔刮使其干燥但应注意不要涂抹至周围皮肤,暂无数据,暂无数据
6371,腹部,消化道重复畸形,"消化内科,外科",消化道重复畸形是指附着于消化道系膜侧的，具有与消化道相同特性的球形或管形空腔肿物，是一种比较少见的先天性畸形。可发生在消化道的任何部位，但以回肠发病最多，其次是食管、结肠、十二指肠、胃、直肠等，有文报告800例中，小肠占57．4％，胸腔占19．9％，结直肠占9．9％，十二指肠占7．1％，胃占3．8％，胸腹部占1．8％。每个脏器有其好发部位，如食管好发于右后纵隔，胃在大弯侧，十二指肠在内侧或后侧，小肠在系膜侧，结肠在内侧，直肠在后侧等。伴发其他系统的畸形也有一定规律，如胸腔内重复畸形多合并半椎体、脊柱裂等脊柱畸形，重复肠道可合并泌尿生殖系畸形等。,暂无数据,暂无数据
6372,"四肢,腰部",小儿家族性低血磷性佝偻病(小儿低血磷性抗维生素D佝偻病，小儿家族性低磷酸盐血症佝偻病，小儿家族性低磷血症，小儿抗维生素D佝偻病，小儿肾性低血磷性佝偻病，小儿性联低磷血症),儿科,抗维生素D性佝偻病(vitamin;D-resistant;rickets)是一种肾小管遗传缺陷性疾病，有低血磷性和低血钙性两种。家族性低血磷性佝偻病(familial;hypophosphatemic;rickets)是由于肾小管缺陷，肾脏丢磷，以致钙、磷代谢紊乱，造成佝偻病。遗传方式是性联显性遗传，对一般生理剂量的维生素D无反应，故又称抗维生素D佝偻病、性联低磷血症。,暂无数据,暂无数据
6373,"头部,头,皮肤,全身,眉",小儿神经皮肤综合征(小儿神经皮肤综合症),"内科,神经内科,儿科,皮肤病科",神经皮肤综合征(neurocutaneoussyndrome)是一组起源于外胚层的组织和器官的发育异常，特别是皮肤、神经和眼睛的异常，有时也累及中胚层和内胚层。受累的器官系统不同，临床表现也呈多种多样，目前该综合征可分40余种，本书将常见的16种列表简介，对其中的色素失禁症(Block-Sutubergersyndrome)、共济失调毛细血管扩张症(Louis-Barssyndrome)等另列详细叙述。,暂无数据,暂无数据
6374,胸部,胸腺囊肿,"内科,内分泌科,外科",胸腺囊肿仅是众多胸内纵隔囊肿的一个类型，而纵隔囊肿来源复杂多样，发病原因多为先天性，少数后天生长，但缺乏明确原因。,暂无数据,暂无数据
6375,"胸部,生殖部位",小儿雄激素不敏感综合征(小儿Reifenstein综合征，小儿睾丸女性化综合征，小儿抗雄激素综合征，小儿雄激素不敏感综合症，小儿雄激素抵抗综合征，小儿有睾女性化综合征),"外科,儿科",雄激素不敏感综合征(androgeninsensitivitysyndrome，AIS)是一种性连锁性遗传病。是引起男性假两性畸形的病因之一，在染色体核型为46，XY的人中发病。本病征的特点是患者血浆雄激素浓度正常，但靶组织对雄激素缺乏反应或反应不全，结果导致患者男性特征的完全或部分丧失，病人呈现女性外观。,暂无数据,暂无数据
6376,,先天性直肠肛管畸形,"外科,肛肠外科",先天性直肠肛管畸形是胚胎时期后肠发育障碍所致的消化道畸形是小儿肛肠外科的常见病占先天性消化道畸形的首位发病率：-中国的调查资料表明约在：男女发病无差异约有％以上的先天性直肠肛管畸形伴有直肠与泌尿生殖系之间的瘘管形成,暂无数据,暂无数据
6377,口,心火上炎,"内科,内分泌科,外科",心火上炎，病证名。指心经虚火上升的病证。症见舌生疮，口腔糜烂，心烦失眠，舌尖红绛等。治宜导赤清心。,暂无数据,暂无数据
6378,"耳,眼,上肢,下肢,胸部",小儿黏多糖贮积病Ⅳ型(小儿Brailsford-Morquio综合征，小儿Brailsford综合征，小儿Morquio综合征，小儿畸形性软骨-骨营养不良，小儿离心性软骨发育不良，小儿硫酸角质尿症，小儿莫尔基奥综合征，小儿),"骨外科,儿科",黏多糖病(mucopolysaccharidosis，MPS)又称Brailsford综合征、Brailsford-Morquio综合征、硫酸角质尿症、离心性软骨发育不良、畸形性软骨-骨营养不良等。是一组先天性遗传病，因黏多糖降解酶缺乏使酸性黏多糖不能完全降解，导致黏多糖积聚在机体不同组织，造成骨骼畸形、智能障碍等一系列临床症状和体征。,暂无数据,暂无数据
